Timestamp,Year of birth,Were you ever a smoker?,Year when first started smoking,Year when stopped smoking,When did you start looking for an internship,Sex,When did you stopped looking for an internship,Have you found an internship?,Education: background (pick a main one you identify with),Years of education,Do you have children?,Cohort
11/2/2020 16:59,1992,No,,,11/2/2020,Male,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",20,No,A20
11/2/2020 16:59,1993,"Yes, and I'm currently smoking",2011,,10/19/2020,Female,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",17,No,A20
11/2/2020 16:59,1990,No,,,3/1/2021,Female,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",17,No,A20
11/2/2020 16:59,1986,No,,,9/1/2020,Male,10/31/2020,Yes,"Medicine, Biology",22,Yes,S20
11/2/2020 17:00,1993,No,,,11/1/2018,Male,12/31/2018,Yes,"Mathematics, Physics, Chemistry, Computer Science, Statistics",16,No,A18
11/2/2020 17:00,1992,"Yes, and I'm currently smoking",2019,,3/1/2020,Female,7/1/2020,Yes,"Literature, History, Philosophy",18,No,A19
11/2/2020 17:00,1995,No,,,10/1/2019,Male,2/1/2020,Yes,"Finance, Economy",16,No,A19
11/2/2020 17:00,1992,"Yes, and I'm currently smoking",2010,,,Male,,Yes,"Finance, Economy",14,No,A20
11/2/2020 17:00,1993,"Yes, and I stopped",2013,2018,12/1/2020,Male,,No,"Finance, Economy",17,No,A20
11/2/2020 17:00,1989,No,,,11/2/2020,Male,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",18,No,S20
11/2/2020 17:00,1982,No,,,10/29/2020,Female,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",20,No,A20
11/2/2020 17:00,1997,No,,,11/2/2020,Female,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",20,No,A20
11/2/2020 17:01,1970,No,,,8/20/2020,Male,11/1/2020,Yes,"Mathematics, Physics, Chemistry, Computer Science, Statistics",20,Yes,S20
11/2/2020 17:01,1978,No,,,9/20/2020,Male,,No,"Mathematics, Physics, Chemistry, Computer Science, Statistics",21,Yes,S20
11/2/2020 17:02,1993,No,,,1/15/2021,Male,4/15/2021,No,"Business, Management",20,No,A20
11/2/2020 17:02,1991,No,,,1/1/2020,Male,2/28/2020,Yes,"Mathematics, Physics, Chemistry, Computer Science, Statistics",21,No,A19
11/2/2020 17:03,1981,No,,,7/1/2018,Male,,No,"Medicine, Biology",25,No,A17
